Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
6         ,22        ,003.mol2                 ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,23        ,003.mol2                 ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,24        ,003.mol2                 ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,25        ,003.mol2                 ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,26        ,003.mol2                 ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,27        ,003.mol2                 ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,28        ,003.mol2                 ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,29        ,003.mol2                 ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,30        ,003.mol2                 ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
6         ,31        ,003.mol2                 ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,8         ,003_lig_13.mol2          ,004.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,9         ,003_lig_13.mol2          ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,10        ,003_lig_13.mol2          ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,11        ,003_lig_13.mol2          ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,12        ,003_lig_13.mol2          ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,13        ,003_lig_13.mol2          ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,14        ,003_lig_13.mol2          ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,15        ,003_lig_13.mol2          ,007_lig_6.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,16        ,003_lig_13.mol2          ,008.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,17        ,003_lig_13.mol2          ,008_lig_7.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,18        ,003_lig_13.mol2          ,009.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,19        ,003_lig_13.mol2          ,009_lig_14.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,20        ,003_lig_13.mol2          ,010.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,21        ,003_lig_13.mol2          ,010_lig_8.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,22        ,003_lig_13.mol2          ,011.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,23        ,003_lig_13.mol2          ,011_lig_1.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,24        ,003_lig_13.mol2          ,012.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,25        ,003_lig_13.mol2          ,012_lig_11.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,26        ,003_lig_13.mol2          ,013.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,27        ,003_lig_13.mol2          ,013_lig_3.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,28        ,003_lig_13.mol2          ,014.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,29        ,003_lig_13.mol2          ,014_lig_5.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,30        ,003_lig_13.mol2          ,015.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
7         ,31        ,003_lig_13.mol2          ,015_lig_16.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
8         ,9         ,004.mol2                 ,004_lig_2.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
8         ,10        ,004.mol2                 ,005.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
8         ,11        ,004.mol2                 ,005_lig_10.mol2          ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
8         ,12        ,004.mol2                 ,006.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
8         ,13        ,004.mol2                 ,006_lig_9.mol2           ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
8         ,14        ,004.mol2                 ,007.mol2                 ,1.22140        ,1.22140        ,1.22140        ,Yes       ,0:0
